Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,TimeSignature,Valence
0.00104,0.522,152760,0.963,TRUE,0,0.149,-3.31,1,0.0528,136.515,4,0.782
4.34e-4,0.174,214693,0.974,FALSE,1.07e-4,0.698,-3.858,1,0.11,196.13,4,0.747
0.00572,0.553,184160,0.979,FALSE,4.33e-4,0.162,-3.567,0,0.0864,82.491,4,0.55
0.0371,0.556,236533,0.486,FALSE,1.45e-6,0.164,-7.139,1,0.0329,119.955,4,0.243
2.12e-4,0.323,103333,0.988,FALSE,0,0.031,-4.033,1,0.0607,178.645,4,0.969
2e-4,0.492,249253,0.955,TRUE,3.59e-6,0.136,-3.545,1,0.04,169.967,4,0.795
0.00561,0.222,146293,0.991,FALSE,5.5e-4,0.111,-3.256,1,0.0952,192.993,4,0.626
0.0793,0.413,227840,0.527,FALSE,0.842,0.0931,-9.162,1,0.0301,124.071,4,0.492
0.992,0.5,57773,0.396,FALSE,0.932,0.861,-21.942,1,0.661,70.374,5,0.813
0.00167,0.563,191120,0.959,FALSE,2.21e-5,0.0639,-3.792,1,0.042,129.972,4,0.963
8.03e-5,0.496,125720,0.977,FALSE,0.00253,0.332,-2.997,1,0.0578,88,4,0.83
3.49e-4,0.401,210907,0.995,TRUE,1.45e-6,0.0952,-3.07,1,0.17,170.861,4,0.61
0.0265,0.204,150133,0.993,FALSE,6.88e-4,0.41,-3.602,1,0.223,196.464,4,0.67
8.93e-4,0.572,184813,0.883,FALSE,0,0.102,-3.74,1,0.0392,117.915,4,0.469
7.18e-4,0.466,274707,0.899,FALSE,4.43e-4,0.439,-4.143,1,0.0574,143.947,4,0.422
1.83e-4,0.4,105573,0.989,FALSE,0,0.166,-3.248,0,0.0669,176.762,4,0.93
0.0371,0.556,236533,0.486,FALSE,1.45e-6,0.164,-7.139,1,0.0329,119.955,4,0.243
3.56e-4,0.309,168560,0.987,FALSE,0,0.224,-3.006,0,0.0733,107.199,3,0.748
0.0108,0.256,266107,0.955,TRUE,0,0.565,-3.605,1,0.145,176.941,4,0.66
0.00138,0.463,249360,0.892,FALSE,2.61e-6,0.164,-4.982,1,0.053,117.404,4,0.335
0.045,0.265,317360,0.735,FALSE,0,0.192,-5.075,1,0.0355,158.767,4,0.378
2.48e-4,0.199,147240,0.946,FALSE,0.00918,0.2,-3.783,1,0.0941,188.354,4,0.832
0.0252,0.519,227680,0.845,FALSE,2.41e-6,0.0922,-4.415,0,0.0281,94.955,4,0.532
0.976,0.599,189000,0.0674,TRUE,1.58e-6,0.254,-19.786,1,0.0451,148.588,4,0.427
0.014,0.36,213427,0.959,FALSE,1.22e-4,0.0669,-3.959,1,0.0737,126.43,4,0.68
2.93e-5,0.507,182507,0.991,FALSE,2.7e-4,0.108,-3.98,1,0.0609,91.934,4,0.713
0.0175,0.531,178000,0.909,FALSE,0,0.231,-4.236,1,0.034,97.546,4,0.814
